"date","hits","keyword","geo","time","gprop","category"
2021-08-22,43,"human rights","world","2018-01-01 2022-12-31","web",0
2021-08-29,52,"human rights","world","2018-01-01 2022-12-31","web",0
2021-09-05,48,"human rights","world","2018-01-01 2022-12-31","web",0
2021-09-12,50,"human rights","world","2018-01-01 2022-12-31","web",0
2021-09-19,53,"human rights","world","2018-01-01 2022-12-31","web",0
2021-09-26,51,"human rights","world","2018-01-01 2022-12-31","web",0
2021-10-03,53,"human rights","world","2018-01-01 2022-12-31","web",0
2021-10-10,52,"human rights","world","2018-01-01 2022-12-31","web",0
2021-10-17,55,"human rights","world","2018-01-01 2022-12-31","web",0
2021-10-24,47,"human rights","world","2018-01-01 2022-12-31","web",0
2021-10-31,51,"human rights","world","2018-01-01 2022-12-31","web",0
2021-11-07,47,"human rights","world","2018-01-01 2022-12-31","web",0
2021-11-14,53,"human rights","world","2018-01-01 2022-12-31","web",0
2021-11-21,50,"human rights","world","2018-01-01 2022-12-31","web",0
2021-11-28,52,"human rights","world","2018-01-01 2022-12-31","web",0
2021-12-05,92,"human rights","world","2018-01-01 2022-12-31","web",0
2021-12-12,50,"human rights","world","2018-01-01 2022-12-31","web",0
2021-12-19,32,"human rights","world","2018-01-01 2022-12-31","web",0
2021-12-26,28,"human rights","world","2018-01-01 2022-12-31","web",0
2022-01-02,48,"human rights","world","2018-01-01 2022-12-31","web",0
2022-01-09,51,"human rights","world","2018-01-01 2022-12-31","web",0
2022-01-16,48,"human rights","world","2018-01-01 2022-12-31","web",0
2022-01-23,55,"human rights","world","2018-01-01 2022-12-31","web",0
2022-01-30,53,"human rights","world","2018-01-01 2022-12-31","web",0
2022-02-06,57,"human rights","world","2018-01-01 2022-12-31","web",0
2022-02-13,71,"human rights","world","2018-01-01 2022-12-31","web",0
2022-02-20,69,"human rights","world","2018-01-01 2022-12-31","web",0
2022-02-27,85,"human rights","world","2018-01-01 2022-12-31","web",0
2022-03-06,81,"human rights","world","2018-01-01 2022-12-31","web",0
2022-03-13,79,"human rights","world","2018-01-01 2022-12-31","web",0
2022-03-20,83,"human rights","world","2018-01-01 2022-12-31","web",0
2022-03-27,80,"human rights","world","2018-01-01 2022-12-31","web",0
2022-04-03,99,"human rights","world","2018-01-01 2022-12-31","web",0
2022-04-10,70,"human rights","world","2018-01-01 2022-12-31","web",0
2022-04-17,78,"human rights","world","2018-01-01 2022-12-31","web",0
2022-04-24,84,"human rights","world","2018-01-01 2022-12-31","web",0
2022-05-01,83,"human rights","world","2018-01-01 2022-12-31","web",0
2022-05-08,94,"human rights","world","2018-01-01 2022-12-31","web",0
2022-05-15,86,"human rights","world","2018-01-01 2022-12-31","web",0
2022-05-22,78,"human rights","world","2018-01-01 2022-12-31","web",0
2022-05-29,66,"human rights","world","2018-01-01 2022-12-31","web",0
2022-06-05,59,"human rights","world","2018-01-01 2022-12-31","web",0
2022-06-12,62,"human rights","world","2018-01-01 2022-12-31","web",0
2022-06-19,63,"human rights","world","2018-01-01 2022-12-31","web",0
2022-06-26,59,"human rights","world","2018-01-01 2022-12-31","web",0
2022-07-03,42,"human rights","world","2018-01-01 2022-12-31","web",0
2022-07-10,40,"human rights","world","2018-01-01 2022-12-31","web",0
2022-07-17,43,"human rights","world","2018-01-01 2022-12-31","web",0
2022-07-24,43,"human rights","world","2018-01-01 2022-12-31","web",0
2022-07-31,39,"human rights","world","2018-01-01 2022-12-31","web",0
2022-08-07,35,"human rights","world","2018-01-01 2022-12-31","web",0
2022-08-14,41,"human rights","world","2018-01-01 2022-12-31","web",0
2022-08-21,47,"human rights","world","2018-01-01 2022-12-31","web",0
2022-08-28,47,"human rights","world","2018-01-01 2022-12-31","web",0
2022-09-04,46,"human rights","world","2018-01-01 2022-12-31","web",0
2022-09-11,53,"human rights","world","2018-01-01 2022-12-31","web",0
2022-09-18,58,"human rights","world","2018-01-01 2022-12-31","web",0
2022-09-25,55,"human rights","world","2018-01-01 2022-12-31","web",0
2022-10-02,61,"human rights","world","2018-01-01 2022-12-31","web",0
2022-10-09,64,"human rights","world","2018-01-01 2022-12-31","web",0
2022-10-16,58,"human rights","world","2018-01-01 2022-12-31","web",0
2022-10-23,58,"human rights","world","2018-01-01 2022-12-31","web",0
2022-10-30,60,"human rights","world","2018-01-01 2022-12-31","web",0
2022-11-06,70,"human rights","world","2018-01-01 2022-12-31","web",0
2022-11-13,76,"human rights","world","2018-01-01 2022-12-31","web",0
2022-11-20,76,"human rights","world","2018-01-01 2022-12-31","web",0
2022-11-27,74,"human rights","world","2018-01-01 2022-12-31","web",0
2022-12-04,89,"human rights","world","2018-01-01 2022-12-31","web",0
2022-12-11,65,"human rights","world","2018-01-01 2022-12-31","web",0
2022-12-18,41,"human rights","world","2018-01-01 2022-12-31","web",0
2022-12-25,28,"human rights","world","2018-01-01 2022-12-31","web",0
2018-01-07,35,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-01-14,37,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-01-21,39,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-01-28,45,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-02-04,47,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-02-11,49,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-02-18,60,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-02-25,61,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-03-04,63,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-03-11,74,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-03-18,61,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-03-25,30,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-04-01,50,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-04-08,65,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-04-15,66,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-04-22,59,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-04-29,54,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-05-06,59,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-05-13,59,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-05-20,64,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-05-27,64,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-06-03,64,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-06-10,57,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-06-17,49,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-06-24,38,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-07-01,34,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-07-08,36,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-07-15,35,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-07-22,36,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-07-29,37,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-08-05,41,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-08-12,48,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-08-19,54,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-08-26,54,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-09-02,60,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-09-09,53,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-09-16,55,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-09-23,61,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-09-30,65,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-10-07,65,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-10-14,72,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-10-21,69,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-10-28,57,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-11-04,69,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-11-11,70,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-11-18,63,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-11-25,61,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-12-02,53,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-12-09,53,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-12-16,24,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-12-23,10,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2018-12-30,13,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-01-06,29,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-01-13,33,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-01-20,34,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-01-27,39,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-02-03,43,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-02-10,45,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-02-17,53,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-02-24,48,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-03-03,50,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-03-10,55,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-03-17,55,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-03-24,63,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-03-31,58,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-04-07,59,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-04-14,27,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-04-21,46,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-04-28,52,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-05-05,55,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-05-12,55,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-05-19,59,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-05-26,65,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-06-02,60,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-06-09,53,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-06-16,51,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-06-23,42,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-06-30,36,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-07-07,39,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-07-14,35,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-07-21,35,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-07-28,34,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-08-04,37,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-08-11,38,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-08-18,44,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-08-25,50,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-09-01,54,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-09-08,54,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-09-15,50,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-09-22,56,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-09-29,61,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-10-06,61,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-10-13,57,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-10-20,72,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-10-27,59,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-11-03,67,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-11-10,66,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-11-17,62,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-11-24,68,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-12-01,51,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-12-08,57,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-12-15,28,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-12-22,11,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2019-12-29,12,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-01-05,25,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-01-12,35,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-01-19,38,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-01-26,38,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-02-02,44,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-02-09,48,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-02-16,52,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-02-23,51,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-03-01,54,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-03-08,52,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-03-15,50,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-03-22,69,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-03-29,58,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-04-05,41,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-04-12,54,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-04-19,100,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-04-26,92,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-05-03,87,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-05-10,83,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-05-17,84,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-05-24,91,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-05-31,84,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-06-07,66,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-06-14,74,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-06-21,68,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-06-28,51,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-07-05,46,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-07-12,44,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-07-19,42,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-07-26,44,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-08-02,46,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-08-09,49,"derechos humanos","world","2018-01-01 2022-12-31","web",0
2020-08-16,49,"derechos humanos","world","2018-01-01 2022-12-31","web",0
