"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"ECU","Ecuador",16785361,"Ecuador",0,NA,NA,0,"Ecuador","Ecuador",NA,"paludisme","world","web"
"EGY","Egypt, Arab Rep.",96442593,"Egypt",0,NA,NA,0,"Egypt","Egypt",NA,"paludisme","world","web"
"EMU","Euro area",341164362,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ERI",NA,NA,"Eritrea",222,10,460,0,"Eritrea","Eritrea",NA,"paludisme","world","web"
"ESH",NA,NA,NA,NA,NA,NA,NA,"Western Sahara","Western Sahara",NA,"paludisme","world","web"
"ESP","Spain",46593236,NA,NA,NA,NA,0,"Spain","Spain",0.5,"paludisme","world","web"
"EST","Estonia",1317384,NA,NA,NA,NA,0,"Estonia","Estonia",NA,"paludisme","world","web"
"ETH","Ethiopia",106400024,"Ethiopia",5369,80,16700,5.04605149337184,"Ethiopia","Ethiopia",NA,"paludisme","world","web"
"EUU","European Union",512191098,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"FCS","Fragile and conflict affected situations",504119229,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"FIN","Finland",5508214,NA,NA,NA,NA,0,"Finland","Finland",NA,"paludisme","world","web"
"FJI","Fiji",877459,NA,NA,NA,NA,0,"Fiji","Fiji",NA,"paludisme","world","web"
"FLK",NA,NA,NA,NA,NA,NA,NA,"Falkland Islands","Falkland Islands (Islas Malvinas)",NA,"paludisme","world","web"
"FRA","France",66865144,NA,NA,NA,NA,0,"France","France",5,"paludisme","world","web"
"FRO","Faroe Islands",48331,NA,NA,NA,NA,0,"Faroe Islands","Faroe Islands",NA,"paludisme","world","web"
"FSM","Micronesia, Fed. Sts.",111459,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"GAB","Gabon",2064823,"Gabon",505,450,560,24.4573021513224,"Gabon","Gabon",52,"paludisme","world","web"
"GBR","United Kingdom",66058859,NA,NA,NA,NA,0,"UK","United Kingdom",0.5,"paludisme","world","web"
"GEO","Georgia",3728004,"Georgia",0,NA,NA,0,"Georgia","Georgia",NA,"paludisme","world","web"
"GGY",NA,NA,NA,NA,NA,NA,NA,"Guernsey","Guernsey",NA,"paludisme","world","web"
"GHA","Ghana",29121471,"Ghana",10917,10100,11800,37.4878041016541,"Ghana","Ghana",NA,"paludisme","world","web"
"GIB","Gibraltar",33728,NA,NA,NA,NA,0,NA,"Gibraltar",NA,"paludisme","world","web"
"GIN","Guinea",12067539,"Guinea",7562,6180,8950,62.6639781317467,"Guinea","Guinea",50,"paludisme","world","web"
"GLP",NA,NA,NA,NA,NA,NA,NA,"Guadeloupe","Guadeloupe",3,"paludisme","world","web"
"GMB","Gambia, The",2213894,"Gambia",674,580,760,30.4440953360911,"Gambia","Gambia",NA,"paludisme","world","web"
"GNB","Guinea-Bissau",1828146,"Guinea-Bissau",688,590,780,37.6337557284812,"Guinea-Bissau","Guinea-Bissau",NA,"paludisme","world","web"
"GNQ","Equatorial Guinea",1262001,"Equatorial Guinea",669,530,810,53.0110514967896,"Equatorial Guinea","Equatorial Guinea",NA,"paludisme","world","web"
"GRC","Greece",10754679,NA,NA,NA,NA,0,"Greece","Greece",NA,"paludisme","world","web"
"GRD","Grenada",110874,NA,NA,NA,NA,0,"Grenada","Grenada",NA,"paludisme","world","web"
"GRL","Greenland",56171,NA,NA,NA,NA,0,"Greenland","Greenland",NA,"paludisme","world","web"
"GTM","Guatemala",16914936,"Guatemala",1,0,3,0.00591193487223363,"Guatemala","Guatemala",NA,"paludisme","world","web"
"GUF",NA,NA,NA,NA,NA,NA,NA,"French Guiana","French Guiana",12,"paludisme","world","web"
"GUM","Guam",164281,NA,NA,NA,NA,0,"Guam","Guam",NA,"paludisme","world","web"
"GUY","Guyana",775221,"Guyana",33,3,60,4.25685062711149,"Guyana","Guyana",NA,"paludisme","world","web"
"HIC","High income",1204429565,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"HKG","Hong Kong SAR, China",7391700,NA,NA,NA,NA,0,NA,"Hong Kong",NA,"paludisme","world","web"
"HMD",NA,NA,NA,NA,NA,NA,NA,NA,"Heard & McDonald Islands",NA,"paludisme","world","web"
"HND","Honduras",9429013,"Honduras",1,0,1,0.0106055639121507,"Honduras","Honduras",NA,"paludisme","world","web"
"HPC","Heavily indebted poor countries (HIPC)",759106221,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"HRV","Croatia",4124531,NA,NA,NA,NA,0,"Croatia","Croatia",NA,"paludisme","world","web"
"HTI","Haiti",10982366,"Haiti",81,2,160,0.737545989634656,"Haiti","Haiti",10,"paludisme","world","web"
"HUN","Hungary",9787966,NA,NA,NA,NA,0,"Hungary","Hungary",NA,"paludisme","world","web"
"IBD","IBRD only",4731120193,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IBT","IDA & IBRD total",6335039629,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDA","IDA total",1603919436,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDB","IDA blend",543525897,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDN","Indonesia",264645886,"Indonesia",2680,200,5110,1.01267396992523,"Indonesia","Indonesia",0.5,"paludisme","world","web"
"IDX","IDA only",1060393539,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IMN","Isle of Man",83598,NA,NA,NA,NA,0,"Isle of Man","Isle of Man",NA,"paludisme","world","web"
"IND","India",1338658835,"India",16733,1200,31900,1.24998241243446,"India","India",0.5,"paludisme","world","web"
"IOT",NA,NA,NA,NA,NA,NA,NA,NA,"British Indian Ocean Territory",NA,"paludisme","world","web"
"IRL","Ireland",4807388,NA,NA,NA,NA,0,"Ireland","Ireland",NA,"paludisme","world","web"
"IRN","Iran, Islamic Rep.",80673951,"Iran (Islamic Republic of)",0,NA,NA,0,"Iran","Iran",NA,"paludisme","world","web"
"IRQ","Iraq",37552781,"Iraq",0,NA,NA,0,"Iraq","Iraq",NA,"paludisme","world","web"
"ISL","Iceland",343400,NA,NA,NA,NA,0,"Iceland","Iceland",NA,"paludisme","world","web"
"ISR","Israel",8713300,NA,NA,NA,NA,0,"Israel","Israel",NA,"paludisme","world","web"
"ITA","Italy",60536709,NA,NA,NA,NA,0,"Italy","Italy",0.5,"paludisme","world","web"
"JAM","Jamaica",2920853,NA,NA,NA,NA,0,"Jamaica","Jamaica",NA,"paludisme","world","web"
"JEY",NA,NA,NA,NA,NA,NA,NA,"Jersey","Jersey",NA,"paludisme","world","web"
"JOR","Jordan",9779173,NA,NA,NA,NA,0,"Jordan","Jordan",NA,"paludisme","world","web"
"JPN","Japan",126785797,NA,NA,NA,NA,0,"Japan","Japan",NA,"paludisme","world","web"
