"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"IRQ","Iraq",37552781,"Iraq",0,NA,NA,0,"Iraq","Iraq",NA,"malaria","world","web"
"ISL","Iceland",343400,NA,NA,NA,NA,0,"Iceland","Iceland",NA,"malaria","world","web"
"ISR","Israel",8713300,NA,NA,NA,NA,0,"Israel","Israel",NA,"malaria","world","web"
"ITA","Italy",60536709,NA,NA,NA,NA,0,"Italy","Italy",4,"malaria","world","web"
"JAM","Jamaica",2920853,NA,NA,NA,NA,0,"Jamaica","Jamaica",NA,"malaria","world","web"
"JEY",NA,NA,NA,NA,NA,NA,NA,"Jersey","Jersey",NA,"malaria","world","web"
"JOR","Jordan",9779173,NA,NA,NA,NA,0,"Jordan","Jordan",NA,"malaria","world","web"
"JPN","Japan",126785797,NA,NA,NA,NA,0,"Japan","Japan",0.5,"malaria","world","web"
"KAZ","Kazakhstan",18037776,"Kazakhstan",0,NA,NA,0,"Kazakhstan","Kazakhstan",NA,"malaria","world","web"
"KEN","Kenya",50221473,"Kenya",12467,11200,13700,24.8240428949585,"Kenya","Kenya",47,"malaria","world","web"
"KGZ","Kyrgyz Republic",6198200,"Kyrgyzstan",0,NA,NA,0,"Kyrgyzstan","Kyrgyzstan",NA,"malaria","world","web"
"KHM","Cambodia",16009414,"Cambodia",345,30,590,2.15498206242902,"Cambodia","Cambodia",19,"malaria","world","web"
"KIR","Kiribati",114158,NA,NA,NA,NA,0,"Kiribati","Kiribati",NA,"malaria","world","web"
"KNA","St. Kitts and Nevis",52045,NA,NA,NA,NA,0,"Saint Kitts","St. Kitts & Nevis",NA,"malaria","world","web"
"KNA","St. Kitts and Nevis",52045,NA,NA,NA,NA,0,"Nevis","St. Kitts & Nevis",NA,"malaria","world","web"
"KOR","Korea, Rep.",51466201,"Republic of Korea",0,NA,NA,0,"South Korea","South Korea",1,"malaria","world","web"
"KWT","Kuwait",4056097,NA,NA,NA,NA,0,"Kuwait","Kuwait",NA,"malaria","world","web"
"LAC","Latin America & Caribbean (excluding high income)",603254104,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LAO","Lao PDR",6953035,"Lao People's Democratic Republic",30,2,60,0.431466258978993,"Laos","Laos",NA,"malaria","world","web"
"LBN","Lebanon",6811873,NA,NA,NA,NA,0,"Lebanon","Lebanon",NA,"malaria","world","web"
"LBR","Liberia",4702228,"Liberia",2227,1910,2540,47.360527817877,"Liberia","Liberia",NA,"malaria","world","web"
"LBY","Libya",6580724,NA,NA,NA,NA,0,"Libya","Libya",NA,"malaria","world","web"
"LCA","St. Lucia",180955,NA,NA,NA,NA,0,"Saint Lucia","St. Lucia",NA,"malaria","world","web"
"LCN","Latin America & Caribbean",635372515,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LDC","Least developed countries: UN classification",986365080,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LIC","Low income",687449530,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LIE","Liechtenstein",37800,NA,NA,NA,NA,0,"Liechtenstein","Liechtenstein",NA,"malaria","world","web"
"LKA","Sri Lanka",21444000,"Sri Lanka",0,NA,NA,0,"Sri Lanka","Sri Lanka",5,"malaria","world","web"
"LMC","Lower middle income",2981420591,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LMY","Low & middle income",6306560891,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LSO","Lesotho",2091412,NA,NA,NA,NA,0,"Lesotho","Lesotho",NA,"malaria","world","web"
"LTE","Late-demographic dividend",2276319334,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LTU","Lithuania",2828403,NA,NA,NA,NA,0,"Lithuania","Lithuania",NA,"malaria","world","web"
"LUX","Luxembourg",596336,NA,NA,NA,NA,0,"Luxembourg","Luxembourg",NA,"malaria","world","web"
"LVA","Latvia",1942248,NA,NA,NA,NA,0,"Latvia","Latvia",NA,"malaria","world","web"
"MAC","Macao SAR, China",622585,NA,NA,NA,NA,0,NA,"Macao",NA,"malaria","world","web"
"MAF","St. Martin (French part)",36560,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MAR","Morocco",35581294,"Morocco",0,NA,NA,0,"Morocco","Morocco",NA,"malaria","world","web"
"MCO","Monaco",38392,NA,NA,NA,NA,0,"Monaco","Monaco",NA,"malaria","world","web"
"MDA","Moldova",3549196,NA,NA,NA,NA,0,"Moldova","Moldova",NA,"malaria","world","web"
"MDG","Madagascar",25570540,"Madagascar",5950,190,11200,23.2689649886158,"Madagascar","Madagascar",NA,"malaria","world","web"
"MDV","Maldives",496402,NA,NA,NA,NA,0,"Maldives","Maldives",NA,"malaria","world","web"
"MEA","Middle East & North Africa",441255234,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MEX","Mexico",124777324,"Mexico",0,NA,NA,0,"Mexico","Mexico",2,"malaria","world","web"
"MHL","Marshall Islands",58058,NA,NA,NA,NA,0,"Marshall Islands","Marshall Islands",NA,"malaria","world","web"
"MIC","Middle income",5619111361,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MKD","North Macedonia",2081996,NA,NA,NA,NA,0,"North Macedonia","North Macedonia",NA,"malaria","world","web"
"MLI","Mali",18512394,"Mali",12425,9870,15000,67.1171972679493,"Mali","Mali",NA,"malaria","world","web"
"MLT","Malta",467999,NA,NA,NA,NA,0,"Malta","Malta",NA,"malaria","world","web"
"MMR","Myanmar",53382581,"Myanmar",218,10,390,0.408372911006307,"Myanmar","Myanmar (Burma)",18,"malaria","world","web"
"MNA","Middle East & North Africa (excluding high income)",376546755,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MNE","Montenegro",622373,NA,NA,NA,NA,0,"Montenegro","Montenegro",NA,"malaria","world","web"
"MNG","Mongolia",3113779,NA,NA,NA,NA,0,"Mongolia","Mongolia",NA,"malaria","world","web"
"MNP","Northern Mariana Islands",56562,NA,NA,NA,NA,0,"Northern Mariana Islands","Northern Mariana Islands",NA,"malaria","world","web"
"MOZ","Mozambique",28649007,"Mozambique",14713,12200,17200,51.356055726469,"Mozambique","Mozambique",80,"malaria","world","web"
"MRT","Mauritania",4282574,"Mauritania",1421,1230,1610,33.1809794763616,"Mauritania","Mauritania",NA,"malaria","world","web"
"MSR",NA,NA,NA,NA,NA,NA,NA,"Montserrat","Montserrat",NA,"malaria","world","web"
"MTQ",NA,NA,NA,NA,NA,NA,NA,"Martinique","Martinique",NA,"malaria","world","web"
"MUS","Mauritius",1264613,NA,NA,NA,NA,0,"Mauritius","Mauritius",NA,"malaria","world","web"
"MWI","Malawi",17670260,"Malawi",7077,6060,8090,40.0503444771045,"Malawi","Malawi",100,"malaria","world","web"
"MYS","Malaysia",31105028,"Malaysia",10,NA,NA,0.0321491432189034,"Malaysia","Malaysia",6,"malaria","world","web"
"MYT",NA,NA,NA,NA,NA,NA,NA,"Mayotte","Mayotte",NA,"malaria","world","web"
"NAC","North America",361751263,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"NAM","Namibia",2402603,"Namibia",229,7,420,9.53132914593048,"Namibia","Namibia",44,"malaria","world","web"
"NCL","New Caledonia",280350,NA,NA,NA,NA,0,"New Caledonia","New Caledonia",NA,"malaria","world","web"
"NER","Niger",21602472,"Niger",17155,13000,21300,79.4122080102685,"Niger","Niger",NA,"malaria","world","web"
"NFK",NA,NA,NA,NA,NA,NA,NA,"Norfolk Island","Norfolk Island",NA,"malaria","world","web"
"NGA","Nigeria",190873311,"Nigeria",81640,64400,98800,42.7718257582905,"Nigeria","Nigeria",76,"malaria","world","web"
"NIC","Nicaragua",6384855,"Nicaragua",10,2,20,0.156620628033056,"Nicaragua","Nicaragua",NA,"malaria","world","web"
"NIU",NA,NA,NA,NA,NA,NA,NA,"Niue","Niue",NA,"malaria","world","web"
"NLD","Netherlands",17131296,NA,NA,NA,NA,0,"Netherlands","Netherlands",8,"malaria","world","web"
"NOR","Norway",5276968,NA,NA,NA,NA,0,"Norway","Norway",4,"malaria","world","web"
"NPL","Nepal",27627124,"Nepal",1,0,3,0.00361963120012058,"Nepal","Nepal",13,"malaria","world","web"
"NRU","Nauru",12876,NA,NA,NA,NA,0,"Nauru","Nauru",NA,"malaria","world","web"
"NZL","New Zealand",4793900,NA,NA,NA,NA,0,"New Zealand","New Zealand",4,"malaria","world","web"
"OED","OECD members",1296225760,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"OMN","Oman",4665935,"Oman",0,NA,NA,0,"Oman","Oman",NA,"malaria","world","web"
"OSS","Other small states",30148800,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PAK","Pakistan",207896686,"Pakistan",805,160,1480,0.38721155949547,"Pakistan","Pakistan",11,"malaria","world","web"
"PAN","Panama",4106771,"Panama",0,NA,NA,0,"Panama","Panama",NA,"malaria","world","web"
"PCN",NA,NA,NA,NA,NA,NA,NA,"Pitcairn Islands","Pitcairn Islands",NA,"malaria","world","web"
"PER","Peru",31444297,"Peru",10,NA,NA,0.0318022692636442,"Peru","Peru",6,"malaria","world","web"
"PHL","Philippines",105173264,"Philippines",34,1,60,0.0323276075181997,"Philippines","Philippines",6,"malaria","world","web"
"PLW","Palau",17808,NA,NA,NA,NA,0,"Palau","Palau",NA,"malaria","world","web"
"PNG","Papua New Guinea",8438029,"Papua New Guinea",3053,170,6120,36.1814352617181,"Papua New Guinea","Papua New Guinea",NA,"malaria","world","web"
"POL","Poland",37974826,NA,NA,NA,NA,0,"Poland","Poland",2,"malaria","world","web"
"PRE","Pre-demographic dividend",894512725,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PRI","Puerto Rico",3325001,NA,NA,NA,NA,0,"Puerto Rico","Puerto Rico",NA,"malaria","world","web"
"PRK","Korea, Dem. People’s Rep.",25429985,"Democratic People's Republic of Korea",0,NA,NA,0,"North Korea","North Korea",NA,"malaria","world","web"
"PRT","Portugal",10300300,NA,NA,NA,NA,0,"Portugal","Portugal",4,"malaria","world","web"
"PRY","Paraguay",6867062,"Paraguay",0,NA,NA,0,"Paraguay","Paraguay",NA,"malaria","world","web"
"PSE","West Bank and Gaza",4454805,NA,NA,NA,NA,0,"Palestine","Palestine",NA,"malaria","world","web"
"PSS","Pacific island small states",2422086,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PST","Post-demographic dividend",1106035186,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
