"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"HUN","Hungary",9787966,NA,NA,NA,NA,0,"Hungary","Hungary",5,"malária","world","web"
"IBD","IBRD only",4731120193,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IBT","IDA & IBRD total",6335039629,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDA","IDA total",1603919436,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDB","IDA blend",543525897,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IDN","Indonesia",264645886,"Indonesia",2680,200,5110,1.01267396992523,"Indonesia","Indonesia",NA,"malária","world","web"
"IDX","IDA only",1060393539,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IMN","Isle of Man",83598,NA,NA,NA,NA,0,"Isle of Man","Isle of Man",NA,"malária","world","web"
"IND","India",1338658835,"India",16733,1200,31900,1.24998241243446,"India","India",NA,"malária","world","web"
"IOT",NA,NA,NA,NA,NA,NA,NA,NA,"British Indian Ocean Territory",NA,"malária","world","web"
"IRL","Ireland",4807388,NA,NA,NA,NA,0,"Ireland","Ireland",NA,"malária","world","web"
"IRN","Iran, Islamic Rep.",80673951,"Iran (Islamic Republic of)",0,NA,NA,0,"Iran","Iran",NA,"malária","world","web"
"IRQ","Iraq",37552781,"Iraq",0,NA,NA,0,"Iraq","Iraq",NA,"malária","world","web"
"ISL","Iceland",343400,NA,NA,NA,NA,0,"Iceland","Iceland",NA,"malária","world","web"
"ISR","Israel",8713300,NA,NA,NA,NA,0,"Israel","Israel",NA,"malária","world","web"
"ITA","Italy",60536709,NA,NA,NA,NA,0,"Italy","Italy",NA,"malária","world","web"
"JAM","Jamaica",2920853,NA,NA,NA,NA,0,"Jamaica","Jamaica",NA,"malária","world","web"
"JEY",NA,NA,NA,NA,NA,NA,NA,"Jersey","Jersey",NA,"malária","world","web"
"JOR","Jordan",9779173,NA,NA,NA,NA,0,"Jordan","Jordan",NA,"malária","world","web"
"JPN","Japan",126785797,NA,NA,NA,NA,0,"Japan","Japan",NA,"malária","world","web"
"KAZ","Kazakhstan",18037776,"Kazakhstan",0,NA,NA,0,"Kazakhstan","Kazakhstan",NA,"malária","world","web"
"KEN","Kenya",50221473,"Kenya",12467,11200,13700,24.8240428949585,"Kenya","Kenya",NA,"malária","world","web"
"KGZ","Kyrgyz Republic",6198200,"Kyrgyzstan",0,NA,NA,0,"Kyrgyzstan","Kyrgyzstan",NA,"malária","world","web"
"KHM","Cambodia",16009414,"Cambodia",345,30,590,2.15498206242902,"Cambodia","Cambodia",NA,"malária","world","web"
"KIR","Kiribati",114158,NA,NA,NA,NA,0,"Kiribati","Kiribati",NA,"malária","world","web"
"KNA","St. Kitts and Nevis",52045,NA,NA,NA,NA,0,"Saint Kitts","St. Kitts & Nevis",NA,"malária","world","web"
"KNA","St. Kitts and Nevis",52045,NA,NA,NA,NA,0,"Nevis","St. Kitts & Nevis",NA,"malária","world","web"
"KOR","Korea, Rep.",51466201,"Republic of Korea",0,NA,NA,0,"South Korea","South Korea",NA,"malária","world","web"
"KWT","Kuwait",4056097,NA,NA,NA,NA,0,"Kuwait","Kuwait",NA,"malária","world","web"
"LAC","Latin America & Caribbean (excluding high income)",603254104,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LAO","Lao PDR",6953035,"Lao People's Democratic Republic",30,2,60,0.431466258978993,"Laos","Laos",NA,"malária","world","web"
"LBN","Lebanon",6811873,NA,NA,NA,NA,0,"Lebanon","Lebanon",NA,"malária","world","web"
"LBR","Liberia",4702228,"Liberia",2227,1910,2540,47.360527817877,"Liberia","Liberia",NA,"malária","world","web"
"LBY","Libya",6580724,NA,NA,NA,NA,0,"Libya","Libya",NA,"malária","world","web"
"LCA","St. Lucia",180955,NA,NA,NA,NA,0,"Saint Lucia","St. Lucia",NA,"malária","world","web"
"LCN","Latin America & Caribbean",635372515,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LDC","Least developed countries: UN classification",986365080,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LIC","Low income",687449530,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LIE","Liechtenstein",37800,NA,NA,NA,NA,0,"Liechtenstein","Liechtenstein",NA,"malária","world","web"
"LKA","Sri Lanka",21444000,"Sri Lanka",0,NA,NA,0,"Sri Lanka","Sri Lanka",NA,"malária","world","web"
"LMC","Lower middle income",2981420591,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LMY","Low & middle income",6306560891,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LSO","Lesotho",2091412,NA,NA,NA,NA,0,"Lesotho","Lesotho",NA,"malária","world","web"
"LTE","Late-demographic dividend",2276319334,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LTU","Lithuania",2828403,NA,NA,NA,NA,0,"Lithuania","Lithuania",NA,"malária","world","web"
"LUX","Luxembourg",596336,NA,NA,NA,NA,0,"Luxembourg","Luxembourg",NA,"malária","world","web"
"LVA","Latvia",1942248,NA,NA,NA,NA,0,"Latvia","Latvia",NA,"malária","world","web"
"MAC","Macao SAR, China",622585,NA,NA,NA,NA,0,NA,"Macao",NA,"malária","world","web"
"MAF","St. Martin (French part)",36560,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MAR","Morocco",35581294,"Morocco",0,NA,NA,0,"Morocco","Morocco",NA,"malária","world","web"
"MCO","Monaco",38392,NA,NA,NA,NA,0,"Monaco","Monaco",NA,"malária","world","web"
"MDA","Moldova",3549196,NA,NA,NA,NA,0,"Moldova","Moldova",NA,"malária","world","web"
"MDG","Madagascar",25570540,"Madagascar",5950,190,11200,23.2689649886158,"Madagascar","Madagascar",NA,"malária","world","web"
"MDV","Maldives",496402,NA,NA,NA,NA,0,"Maldives","Maldives",NA,"malária","world","web"
"MEA","Middle East & North Africa",441255234,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MEX","Mexico",124777324,"Mexico",0,NA,NA,0,"Mexico","Mexico",NA,"malária","world","web"
"MHL","Marshall Islands",58058,NA,NA,NA,NA,0,"Marshall Islands","Marshall Islands",NA,"malária","world","web"
"MIC","Middle income",5619111361,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MKD","North Macedonia",2081996,NA,NA,NA,NA,0,"North Macedonia","North Macedonia",NA,"malária","world","web"
"MLI","Mali",18512394,"Mali",12425,9870,15000,67.1171972679493,"Mali","Mali",NA,"malária","world","web"
"MLT","Malta",467999,NA,NA,NA,NA,0,"Malta","Malta",NA,"malária","world","web"
"MMR","Myanmar",53382581,"Myanmar",218,10,390,0.408372911006307,"Myanmar","Myanmar (Burma)",NA,"malária","world","web"
"MNA","Middle East & North Africa (excluding high income)",376546755,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MNE","Montenegro",622373,NA,NA,NA,NA,0,"Montenegro","Montenegro",NA,"malária","world","web"
"MNG","Mongolia",3113779,NA,NA,NA,NA,0,"Mongolia","Mongolia",NA,"malária","world","web"
"MNP","Northern Mariana Islands",56562,NA,NA,NA,NA,0,"Northern Mariana Islands","Northern Mariana Islands",NA,"malária","world","web"
"MOZ","Mozambique",28649007,"Mozambique",14713,12200,17200,51.356055726469,"Mozambique","Mozambique",84,"malária","world","web"
"MRT","Mauritania",4282574,"Mauritania",1421,1230,1610,33.1809794763616,"Mauritania","Mauritania",NA,"malária","world","web"
"MSR",NA,NA,NA,NA,NA,NA,NA,"Montserrat","Montserrat",NA,"malária","world","web"
