"Date","Google","bing","Yahoo!","Ask Jeeves","Babylon","Snap.do","Conduit","SweetIM","DuckDuckGo","Baidu","MSN","Alot Search","AVG Search","Other"
2016-05,96.47,1.76,1.55,0.12,0,0,0,0,0.03,0.01,0.02,0,0,0.04
2016-06,96.61,1.69,1.52,0.09,0,0,0,0,0.03,0.01,0.01,0,0,0.04
2016-07,96.76,1.52,1.52,0.08,0,0,0,0,0.03,0.02,0.02,0,0,0.04
2016-08,96.86,1.46,1.47,0.07,0,0,0,0,0.04,0.02,0.03,0,0,0.04
2016-09,97.07,1.36,1.38,0.07,0,0,0,0,0.03,0.01,0.04,0,0,0.04
2016-10,97.19,1.27,1.35,0.06,0,0,0,0,0.03,0.01,0.05,0,0,0.03
2016-11,97.21,1.26,1.32,0.05,0,0,0,0,0.03,0.01,0.09,0,0,0.03
2016-12,97.11,1.33,1.41,0.05,0,0,0,0,0.04,0.01,0.01,0,0,0.04
2017-01,97.2,1.29,1.38,0.04,0,0,0,0,0.03,0.01,0.01,0,0,0.03
2017-02,97.18,1.25,1.44,0.04,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-03,97.05,1.32,1.51,0.03,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-04,96.92,1.41,1.55,0.03,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-05,97.01,1.38,1.49,0.03,0,0,0,0,0.04,0.01,0.02,0,0,0.03
2017-06,97.06,1.37,1.45,0.03,0,0,0,0,0.04,0.01,0.01,0,0,0.03
2017-07,96.95,1.41,1.5,0.02,0,0,0,0,0.05,0.01,0.01,0,0,0.03
2017-08,97.08,1.32,1.48,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2017-09,97.41,1.17,1.31,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2017-10,97.42,1.22,1.24,0.02,0,0,0,0,0.05,0.01,0.01,0,0,0.02
2017-11,97.33,1.32,1.23,0.02,0,0,0,0,0.05,0.01,0.01,0,0,0.02
2017-12,97.25,1.34,1.29,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2018-01,97.05,1.36,1.47,0.02,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2018-02,96.92,1.39,1.57,0.02,0,0,0,0,0.05,0.01,0.03,0,0,0.03
2018-03,96.76,1.55,1.58,0.01,0,0,0,0,0.05,0.01,0.01,0,0,0.03
2018-04,96.74,1.62,1.55,0.01,0,0,0,0,0.05,0.01,0,0,0,0.03
2018-05,96.74,1.61,1.55,0.01,0,0,0,0,0.05,0.01,0,0,0,0.02
2018-06,96.66,1.66,1.57,0.01,0,0,0,0,0.05,0.01,0.02,0,0,0.02
2018-07,96.87,1.58,1.42,0.01,0,0,0,0,0.05,0.01,0.05,0,0,0.02
2018-08,96.99,1.58,1.29,0.01,0,0,0,0,0.05,0.01,0.05,0,0,0.02
2018-09,97.66,1.02,1.21,0.01,0,0,0,0,0.05,0.01,0.03,0,0,0.02
2018-10,97.81,0.94,1.13,0.01,0,0,0,0,0.05,0.01,0.03,0,0,0.02
2018-11,97.89,0.91,1.07,0.01,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2018-12,97.9,0.95,1.01,0.01,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2019-01,98,0.91,0.96,0,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2019-02,97.93,0.95,0.99,0,0,0,0,0,0.06,0.01,0.04,0,0,0.02
2019-03,97.79,1.03,1.05,0,0,0,0,0,0.07,0,0.04,0,0,0.02
2019-04,97.62,1.14,1.1,0,0,0,0,0,0.08,0.01,0.03,0,0,0.02
2019-05,97.66,1.14,1.05,0,0,0,0,0,0.08,0.01,0.03,0,0,0.02
2019-06,97.71,1.17,0.97,0,0,0,0,0,0.09,0.01,0.04,0,0,0.02
2019-07,97.68,1.18,0.95,0,0,0,0,0,0.1,0.01,0.03,0,0,0.05
2019-08,97.64,1.14,0.93,0,0,0,0,0,0.1,0.01,0.03,0,0,0.15
2019-09,97.65,1.12,0.93,0,0,0,0,0,0.1,0.01,0.02,0,0,0.18
2019-10,97.73,1.07,0.94,0,0,0,0,0,0.1,0.01,0.01,0,0,0.14
2019-11,97.74,1.08,0.93,0,0,0,0,0,0.1,0.01,0.01,0,0,0.12
2019-12,97.77,1.07,0.92,0,0,0,0,0,0.11,0.01,0.01,0,0,0.11
