"Date","Google","bing","Yahoo!","YANDEX RU","Ask Jeeves","Seznam","DuckDuckGo","Mail.ru","Conduit","t-online","Babylon","MSN","StartPagina (Google)","WEB.DE","AOL","SweetIM","Arianna","AVG Search","Baidu","Snap.do","Ecosia","Webcrawler","Qwant","YANDEX","Delta Search","Norton Safe Search","Other"
2016-05,92.72,3.35,1.67,1.36,0.06,0.17,0.16,0.18,0,0.09,0.01,0.03,0.04,0,0.03,0,0.02,0.01,0.02,0,0,0,0,0.01,0,0,0.06
2016-06,92.59,3.35,1.65,1.48,0.06,0.17,0.17,0.17,0,0.09,0,0.07,0.04,0,0.03,0,0.02,0.01,0.02,0,0,0,0,0.01,0,0,0.06
2016-07,92.57,3.27,1.73,1.48,0.05,0.19,0.18,0.17,0,0.09,0,0.04,0.04,0,0.04,0,0.02,0.01,0.03,0,0,0,0,0.02,0,0,0.06
2016-08,92.73,3.19,1.67,1.55,0.04,0.17,0.17,0.15,0,0.09,0,0.01,0.04,0,0.03,0,0.02,0,0.03,0,0,0,0,0.02,0,0,0.06
2016-09,93.06,3.14,1.54,1.48,0.04,0.15,0.16,0.15,0,0.08,0,0.02,0.03,0,0.03,0,0.02,0,0.03,0,0,0,0,0.02,0,0,0.05
2016-10,93.07,3.17,1.55,1.43,0.04,0.14,0.16,0.16,0,0.05,0,0.02,0.03,0,0.03,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.08
2016-11,92.99,3.19,1.48,1.52,0.04,0.13,0.16,0.19,0,0.05,0,0.08,0.03,0,0.03,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.06
2016-12,92.49,3.19,1.54,1.9,0.07,0.15,0.18,0.24,0,0,0,0.07,0.01,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0,0.06
2017-01,92.32,3.33,1.52,1.89,0.06,0.13,0.22,0.27,0,0,0,0.07,0.03,0,0.02,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.07
2017-02,92.25,3.44,1.56,1.93,0.04,0.13,0.25,0.18,0,0,0,0.06,0.02,0,0.02,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0.05
2017-03,91.95,3.66,1.63,1.88,0.03,0.13,0.29,0.17,0,0,0,0.08,0.02,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0,0.04
