"Date","Google","bing","Yahoo!","DuckDuckGo","Baidu","Ask Jeeves","Conduit","MSN","Webcrawler","AVG Search","Haosou","Norton Safe Search","Snap.do","Dogpile","Babylon","Naver","Other"
2015-03,93.46,4.15,1.39,0.15,0.26,0.3,0,0.01,0.04,0.04,0.08,0.04,0.01,0.02,0,0.01,0.06
2015-04,93.77,3.86,1.38,0.2,0.19,0.3,0,0.01,0.04,0.03,0.08,0.05,0.01,0.02,0,0.01,0.04
2015-05,93.94,3.82,1.32,0.2,0.17,0.26,0,0.01,0.04,0.03,0.08,0.05,0,0.02,0,0.01,0.04
2015-06,94.49,3.42,1.3,0.21,0.18,0.14,0,0.01,0.03,0.03,0.08,0.05,0,0.02,0,0.01,0.04
2015-07,94.13,3.68,1.33,0.16,0.24,0.15,0,0.01,0.02,0.03,0.09,0.08,0,0.02,0,0.01,0.04
2015-08,94.44,3.53,1.19,0.21,0.24,0.13,0,0.01,0.02,0.02,0.08,0.06,0,0.02,0,0.01,0.04
2015-09,94.54,3.47,1.2,0.23,0.23,0.12,0,0.01,0.01,0.02,0.04,0.05,0,0.02,0,0.01,0.04
2015-10,94.5,3.54,1.2,0.22,0.23,0.1,0,0.01,0.01,0.02,0.03,0.05,0,0.03,0,0.01,0.04
2015-11,94.32,3.72,1.21,0.22,0.23,0.1,0,0.01,0.01,0.02,0.03,0.05,0,0.02,0,0.01,0.04
2015-12,93.62,4.36,1.28,0.22,0.21,0.09,0,0.01,0.02,0.02,0.03,0.06,0,0.02,0,0.01,0.06
2016-01,93.3,4.71,1.26,0.22,0.2,0.08,0,0.01,0.02,0.02,0.04,0.06,0,0.02,0,0.02,0.06
2016-02,93.45,4.59,1.17,0.21,0.27,0.07,0,0.01,0.02,0.02,0.05,0.05,0,0.02,0,0.01,0.06
2016-03,93.77,4.29,1.14,0.19,0.29,0.06,0,0.04,0.01,0.01,0.07,0.04,0,0.02,0,0.01,0.05
2016-04,93.52,4.18,1.12,0.2,0.18,0.04,0,0.59,0.01,0.01,0.07,0.01,0,0.02,0,0.01,0.04
2016-05,94.28,4.11,1.07,0.19,0.19,0.04,0,0.01,0.01,0.01,0.02,0.01,0,0.02,0,0.01,0.04
2016-06,94.26,4.16,1.06,0.19,0.17,0.03,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.04
2016-07,94.41,3.97,1.1,0.21,0.16,0.03,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.02,0.04
2016-08,94.53,3.94,1.02,0.19,0.18,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.02,0.04
2016-09,94.86,3.67,0.98,0.18,0.16,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.04
2016-10,94.85,3.71,0.94,0.2,0.16,0.03,0,0.02,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.04
2016-11,95.01,3.61,0.87,0.19,0.15,0.03,0,0.03,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.04
2016-12,94.88,3.57,0.96,0.23,0.21,0.02,0,0.02,0.01,0,0.01,0.01,0,0.02,0,0.01,0.04
2017-01,94.76,3.7,0.94,0.24,0.2,0.02,0,0.03,0.01,0,0.01,0.01,0,0.02,0,0.01,0.05
2017-02,94.46,4,0.88,0.23,0.25,0.02,0,0.04,0.01,0,0.01,0.01,0,0.02,0,0.02,0.05
2017-03,94.17,4.34,0.85,0.25,0.21,0.02,0,0.04,0.02,0,0.01,0.01,0,0.02,0,0.02,0.03
2017-04,94.51,3.97,0.87,0.25,0.21,0.02,0,0.06,0.02,0,0.01,0.01,0,0.01,0,0.02,0.03
2017-05,94.45,4.07,0.82,0.25,0.22,0.01,0,0.07,0.02,0,0.01,0.02,0,0.01,0,0.02,0.03
2017-06,94.2,4.14,1,0.27,0.19,0.01,0,0.06,0.02,0,0.01,0.02,0,0.01,0,0.02,0.03
2017-07,94.28,4.15,0.86,0.31,0.2,0.01,0,0.06,0.02,0,0.01,0.02,0,0.01,0,0.02,0.04
2017-08,94.36,4.06,0.82,0.32,0.23,0.01,0,0.07,0.02,0,0.01,0.02,0,0.01,0,0.02,0.04
2017-09,94.09,4.24,0.86,0.35,0.21,0.01,0,0.11,0.02,0,0.01,0.02,0,0.01,0,0.02,0.04
2017-10,93.78,4.59,0.75,0.35,0.22,0.01,0,0.17,0.02,0,0.01,0.02,0,0.01,0,0.03,0.04
2017-11,93.66,4.77,0.52,0.36,0.21,0.01,0,0.32,0.02,0,0.01,0.03,0,0.01,0,0.03,0.04
2017-12,93.29,4.76,0.52,0.39,0.19,0.01,0,0.68,0.02,0,0.01,0.03,0,0.01,0,0.03,0.05
2018-01,93.98,4.42,0.61,0.37,0.2,0.01,0,0.25,0.01,0,0.02,0.03,0,0.01,0,0.03,0.04
2018-02,94.07,4.34,0.65,0.31,0.25,0.01,0,0.2,0.01,0,0.02,0.03,0,0.01,0,0.04,0.05
2018-03,93.97,4.5,0.66,0.33,0.29,0.01,0,0.08,0.01,0,0.02,0.03,0,0.01,0,0.04,0.06
2018-04,94.07,4.38,0.66,0.36,0.35,0.01,0,0.01,0.01,0,0.02,0.04,0,0.01,0,0.03,0.07
2018-05,93.49,4.82,0.63,0.35,0.44,0.01,0,0.1,0,0,0.02,0.04,0,0.01,0,0.03,0.08
2018-06,93.4,4.73,0.62,0.35,0.41,0.01,0,0.3,0,0,0.02,0.03,0,0,0,0.03,0.09
2018-07,93.43,4.67,0.64,0.36,0.3,0.01,0,0.44,0,0,0.02,0.03,0,0,0,0.03,0.06
2018-08,93.04,4.86,0.57,0.36,0.19,0,0,0.82,0.01,0,0.02,0.04,0,0,0,0.03,0.07
2018-09,95.35,3.17,0.58,0.4,0.1,0,0,0.24,0.01,0,0.02,0.04,0,0,0,0.04,0.05
2018-10,95.55,3.05,0.52,0.42,0.1,0,0,0.2,0.01,0,0.03,0.04,0,0,0,0.03,0.05
2018-11,95.02,3.45,0.51,0.46,0.09,0,0,0.31,0.02,0,0.02,0.04,0,0,0,0.03,0.05
2018-12,94.67,3.36,0.54,0.54,0.09,0,0,0.64,0.02,0,0.02,0.03,0,0,0,0.03,0.05
2019-01,95.24,3.09,0.51,0.54,0.09,0,0,0.39,0.01,0,0.02,0.03,0,0,0,0.03,0.04
2019-02,95.07,3.33,0.51,0.54,0.09,0,0,0.32,0.01,0,0.02,0.03,0,0,0,0.03,0.04
2019-03,95.11,3.43,0.5,0.54,0.11,0,0,0.18,0.01,0,0.02,0.03,0,0,0,0.02,0.04
2019-04,95.24,3.24,0.58,0.55,0.12,0,0,0.13,0.01,0,0.01,0.04,0,0,0,0.02,0.04
2019-05,95.22,3.29,0.44,0.52,0.14,0,0,0.22,0.01,0,0.01,0.03,0,0,0,0.02,0.08
2019-06,95.22,3.31,0.53,0.57,0.12,0,0,0.12,0.01,0,0.01,0.04,0,0,0,0.02,0.04
2019-07,95.11,3.22,0.7,0.61,0.08,0,0,0.11,0,0,0.01,0.04,0,0,0,0.02,0.1
2019-08,94.83,3.34,0.7,0.62,0.09,0,0,0.15,0,0,0.01,0.04,0,0,0,0.02,0.19
2019-09,94.3,3.31,0.68,0.65,0.1,0,0,0.66,0,0,0.01,0.04,0,0,0,0.02,0.23
2019-10,94.99,3.25,0.69,0.64,0.09,0,0,0.05,0,0,0.01,0.03,0,0,0,0.01,0.22
2019-11,94.62,3.31,0.71,0.67,0.09,0,0,0.32,0,0,0.01,0.04,0,0,0,0.01,0.22
2019-12,94.8,3.21,0.8,0.72,0.07,0,0,0.13,0,0,0.01,0.04,0,0,0,0.01,0.21
